bookId,title,publicationYear,description,language,reviews,publisherId
1142009,Strangeworld: The Mortifera,2012,,English,[],
1142012,Adult Coloring Books: Animals,,,English,[],
1093110,Twanged,1998,,English,[],
1684905,Becoming One with the Ghosts,,,English,[],
1142015,Branson - Eye of the Beholder,2012,,English,[],
1142016,No Place Like Amestraton,2011,,English,[],
1574563,Gênesis 1 e 2,,,English,"[{'reviewiId': 4833436, 'score': 1.0, 'comment': None, 'date': '2020-04-09', 'userId': 21412}]",
1461948,Mensagem Obra poética I,1934,,English,"[{'reviewiId': 4049951, 'score': 4.0, 'comment': '<p>Gutes Buch, aber mein Portugiesisch ist zu schlecht</p>', 'date': '2021-03-14', 'userId': 16855}]",12120
335501,A formal feeling,1982,"Sixteen-year-old Anne, home from boarding school for the holidays, has difficulty accepting her new stepmother's presence in the house that holds so many memories of her dead mother.",English,[],
1142021,Improv Comedy: Essential Games,2010,,English,"[{'reviewiId': 1706900, 'score': 5.0, 'comment': None, 'date': '2015-05-24', 'userId': 7178}]",
1093141,Conjure Island,2023,,English,[],
1142030,Desert Atonement,2011,,English,[],
254503,Escape from Texas,,"In 1828 James, a slave, arrives in Texas, brought by his owners, Samuel and Sarah Bingham.  Texas is then a part of the Mexican state of Coahuila y Tejas.  James comes to Texas because he has no choice.  But once there, he finds a postrevolutionary country where slavery is on the way out and his freedom is a real possibility.  His owner, Samuel Bingham, is determined to take advantage of the low cost of land in Texas to build up a farm into a cotton plantation with the use of slave labor. Over the next nine years James will experience and participate in a series of wrenching events that marked the origins of the Lone Star State.
Set in the years surrounding the 1836 Texas War of Independence, Escape from Texas is a solidly researched examination of the clashing aspirations of slaves, slave owners, Indians, and Mexicans during a turning point of the westward expansion of the United States.  
While there are a number of novels set in this period of Texas history, Escape from Texas is the only novel that has a slave as a key protagonist and incorporates prominently that point of view of the turbulent events.  Its provocative underlying thesis is that the extension of slavery was the true underlying cause of the Texas War of Independence, not yearnings for freedom by the Texas frontiersmen, as American folklore has traditionally had it.  Escape from Texas is to the understanding of the Texas War of Independence as Howard Fast’s Freedom Road was to the understanding of the post-Civil War period of Reconstruction.  
“A tantalizing, compelling, and learned look into an under-examined period of history that bridges the experiences of African-Americans, Mexicans, Afro-Mexicans, Native-Americans, and Anglo-Americans alike. Few other books have so keenly explored what border life may have been like in the years leading up to the Mexican-American War. Certainly, no novel has so astutely captured the mindset of black slaves and their complicated relationships with Mexico during this era. This is an unusual piece of fiction, both for its tight historical accuracy and the scope of its imagination. This is a gripping and wonderful narrative, packed with surprises, as well as new lessons in history.” –Ben Vinson III, Johns Hopkins University, author of *Black Mexico* and *Flight: The Story of Virgil Richardson, A Tuskegee Airman in Mexico.*",English,[],
261985,Five days,,"Since being downsized, Laura's husband has become withdrawn. Jumping at the respite of a weekend conference in Boston, she meets an outwardly dull insurance salesman that she discovers is grappling with the same big questions she has, and they make a personal connection.",English,[],
1547756,Big Green Egg Cookbook: Celebrating the World's Best Smoker & Grill,2010,"Over 160 recipes designed specifically for the ceramic kamado cooker, the Big Green Egg, for searing, grilling, smoking, roasting, and baking. The Big Green Egg Cookbook is the first cookbook specifically celebrating this versatile ceramic cooker. Available in five sizes, Big Green Egg ceramic cookers can sear, grill, smoke, roast, and bake. Here is the birthday gift EGGheads have been waiting for, offering a variety of cooking and baking recipes encompassing the cooker's capabilities as a grill, a smoker, and an oven. The book's introduction explains the ancient history of ceramic cookers and the loyal devotion of self-proclaimed EGGheads to these dynamic, original American-designed cookers. Complete with more than 160 recipes, 100 color photographs, and as many clever cooking tips, the Big Green Egg Cookbook is a must for the more than 1 million EGG owners in the United States and a great introduction for anyone wanting to crack the shell of EGGhead culture.",English,[],465
1093167,All that's Left to You: A Novella and Other Stories,1966,,English,[],
1434211,Smart Growth Manual,,,English,[],
1523239,Brave New Work: Are You Ready to Reinvent Your Organization?,2019,,English,"[{'reviewiId': 4613823, 'score': 3.0, 'comment': None, 'date': '2020-05-29', 'userId': 20226}]",
1556482,Нью-Йоркский обход,2019,"Александр Стесин — поэт, прозаик, путешественник и врач-онколог, автор книг «Вернись и возьми», «Ужин для огня» и «Путем чая». Его новая книга — рассказ о работе в госпиталях, разбросанных по всему Нью-Йорку. Город, где сосуществует множество культур, и медицинский опыт, порой экстремальный, — все это поводы подумать о том, насколько разных людей приводит сюда судьба и насколько условной эта разность делается перед лицом беды и стремлением помогать друг другу. Лучше осмыслить свой опыт изучения мира и лечения людей писателю позволяет взгляд с расстояния — вот почему книга, начавшаяся в Нью-Йорке, заканчивается в Нью-Дели.",English,"[{'reviewiId': 4677444, 'score': 4.0, 'comment': None, 'date': '2024-04-09', 'userId': 20644}]",2346
1142045,Under Lock and Key,,,English,[],
791932,Maman's Homesick Pie: A Persian Heart in an American Kitchen,2011,"For Donia Bijan's family, food has been the language used for telling stories and communicating love. In 1978, when the Islamic Revolution in Iran threatened their safety, they fled to California, where the familiar flavors of Bijan's mother's cooking formed a bridge to the life they left behind. Now, through the prism of food, award-winning chef Donia Bijan unwinds her own story and finds that, at the heart of it all, is her mother. From the Persian world of her youth to the American life she embraced, from her years at Paris's Le Cordon Bleu and apprenticeships in France's three-star kitchens back to San Francisco where she opened her own celebrated bistro, Bijan evokes a vibrant kaleidoscope of cultures and cuisines. And she shares thirty inspired recipes from her childhood, her French training, and her cooking career. An exhilarating, heartfelt memoir, Maman's Homesick Pie is also a reminder of the women who encourage us to shine. Donia's love for her mother and her home, as well as for adventure and the power of good food, sings from every page.",English,[],181854
1703132,House Kheperu Archives: The Outer Teachings of House Kheperu,2011,"Since its inception, House Kheperu has been distinguished as one of the most influential groups within the modern vampire community. But House Kheperu is much more than simply a vampire house. 2011 marks the fifteenth anniversary of the core group that would become known to the world as House Kheperu. In recognition of this milestone, founder Michelle Belanger has compiled this extensive tome featuring House Kheperu's most popular and informative outer teachings. The articles and essays collected here represent material archived from the kheperu.org site as well as public elists and forums. These articles shed light on the nuances and development of the popular and widely read ""Psychic Vampire Codex"" -- the manual of magick and energy work that established House Kheperu's reputation for innovative energy work and a dynamic spiritual path. Often imitated, never duplicated, House Kheperu continues to trailblaze the territory where magick, spirituality, and energy work intersect.",English,[],2429
1142049,The Sphere: Sedition,2015,,English,[],
1142050,Dutch Curridge,2010,,English,[],
1200484,Resistance,2006,"Daniel Kalla, author of Pandemic unveils his new medical thriller, Resistance. A new strain of ultra-resistant bacteria emerges and threatens to erupt into a global catastrophe. It's a race against the clock to save mankind.",English,"[{'reviewiId': 2093774, 'score': 5.0, 'comment': None, 'date': '2013-04-23', 'userId': 9038}]",525
1295175,"Cabinet of Curiosities: A Historical Tour of the Unbelievable, the Unsettling, and the Bizarre",,,English,"[{'reviewiId': 4069430, 'score': 3.0, 'comment': None, 'date': '2024-09-06', 'userId': 14228}]",
